year,month,domestic,international,total
2014,Ene,801,1098.228,1899.228
2014,Feb,741,990.035,1731.035
2014,Mar,784,1005.055,1789.055
2014,Abr,731,906.659,1637.659
2014,May,705,914.053,1619.053
2014,Jun,636,910.854,1546.854
2014,Jul,830,1013.705,1843.705
2014,Ago,812,947.98,1759.98
2014,Sep,817,911.26,1728.26
2014,Oct,885,953.009,1838.009
2014,Nov,899,920.436,1819.436
2014,Dic,889,977.211,1866.211
2015,Ene,890,1080.394,1970.394
2015,Feb,821,968.645,1789.645
2015,Mar,861,1001.64,1862.64
2015,Abr,796,921.893,1717.893
2015,May,754,922.394,1676.394
2015,Jun,687,876.266,1563.266
2015,Jul,990,1025.926,2015.926
2015,Ago,976,1007.412,1983.412
2015,Sep,985,987.35,1972.35
2015,Oct,993,1010.473,2003.473
2015,Nov,988,990.606,1978.606
2015,Dic,998,1043.18,2041.18
2016,Ene,1043,1182.696,2225.696
2016,Feb,952,1107.118,2059.118
2016,Mar,938,1103.492,2041.492
2016,Abr,777,980.207,1757.207
2016,May,745,998.641,1743.641
2016,Jun,724,966.46,1690.46
2016,Jul,1024,1111.15,2135.15
2016,Ago,1009,1078.175,2087.175
2016,Sep,970,1065.875,2035.875
2016,Oct,1055,1105.187,2160.187
2016,Nov,1034,1075.367,2109.367
2016,Dic,1061,1156.642,2217.642
2017,Ene,1136,1343.592,2479.592
2017,Feb,1020,1236.396,2256.396
2017,Mar,1038,1270.634,2308.634
2017,Abr,946,1161.416,2107.416
2017,May,929,1153.593,2082.593
2017,Jun,894,1085.749,1979.749
2017,Jul,1193,1309.243,2502.243
2017,Ago,1176,1223.138,2399.138
2017,Sep,1173,1207.713,2380.713
2017,Oct,1189,1255.502,2444.502
2017,Nov,1204,1219.765,2423.765
2017,Dic,1151,1312.149,2463.149
2018,Ene,1228,1547.743,2775.743
2018,Feb,1108,1379.118,2487.118
2018,Mar,1202,1412.43,2614.43
2018,Abr,1059,1298.342,2357.342
2018,May,1023,1218.076,2241.076
2018,Jun,971,1041.125,2000.125
